id,custId,custName,account,method,merchant,location,device,ip,amount,score,risk,status,dt
TX-000032,CUST-0062,Bilal Raza,9.22611E+11,Wallet,Steam,Karachi,Android,237.68.202.203,6129.32,72,High,Flagged,3/27/2026 11:39
TX-000033,CUST-0436,Sara Qureshi,2.12108E+11,ATM,AliExpress,London,Tablet,127.113.21.154,400.24,84,Critical,Flagged,4/15/2026 17:54
TX-000034,CUST-0619,Usman Khan,98599620746,Wallet,Binance,London,MacBook,163.209.126.249,903.26,55,Medium,Under Review,4/10/2026 1:55
TX-000035,CUST-0342,Ayesha Raza,8.36299E+11,UPI,Amazon,New York,Tablet,119.106.14.49,5085.52,44,Medium,Under Review,4/6/2026 3:57
TX-000036,CUST-0641,Zain Khan,2.59462E+11,Card,Shopify,Karachi,MacBook,243.31.166.214,1517.38,79,High,Flagged,4/2/2026 1:29
TX-000037,CUST-0522,Hamza Iqbal,4.44412E+11,Wallet,AliExpress,Karachi,Windows PC,186.77.215.151,5687.45,91,Critical,Blocked,4/11/2026 11:11
TX-000038,CUST-0887,Ahmed Butt,5.35543E+11,ATM,Careem,Dubai,Android,127.247.10.33,4927.43,84,Critical,Flagged,4/2/2026 11:09
TX-000039,CUST-0891,Sara Butt,90189072630,Wallet,Careem,Islamabad,MacBook,224.139.10.159,679.84,75,High,Flagged,4/9/2026 15:21
TX-000040,CUST-0233,Hamza Raza,4.06847E+11,UPI,Careem,London,Android,44.45.21.157,8535.52,80,High,Flagged,4/11/2026 16:05
TX-000041,CUST-0510,Bilal Malik,2.64684E+11,ATM,AliExpress,Dubai,Windows PC,51.99.219.124,1054.14,79,High,Flagged,4/13/2026 18:55
TX-000042,CUST-0368,Bilal Iqbal,9.29626E+11,Wallet,Shopify,London,Windows PC,57.163.49.159,2463.64,48,Medium,Under Review,3/29/2026 17:17
TX-000043,CUST-0698,Ahmed Raza,9.63457E+11,Wallet,AliExpress,Lahore,Windows PC,234.212.242.124,9480.69,96,Critical,Blocked,3/25/2026 17:58
TX-000044,CUST-0824,Sara Butt,9.1988E+11,ATM,Uber,New York,Windows PC,150.98.211.164,9215.46,37,Medium,Under Review,4/9/2026 8:00
TX-000045,CUST-0483,Ali Farooq,8.59209E+11,ATM,Daraz,Karachi,Android,228.138.35.100,4451.17,13,Low,Cleared,4/14/2026 2:35
TX-000046,CUST-0430,Bilal Malik,8.68693E+11,Wallet,Uber,Karachi,MacBook,71.49.248.32,9300.82,85,Critical,Blocked,3/31/2026 3:56
TX-000047,CUST-0679,Fatima Farooq,9.03973E+11,UPI,Amazon,Islamabad,Android,253.34.139.65,7827.45,58,Medium,Under Review,4/20/2026 13:51
TX-000048,CUST-0135,Ali Ansari,7.23108E+11,UPI,Shopify,London,iPhone,187.201.233.222,6460.66,14,Low,Cleared,4/23/2026 13:49
TX-000049,CUST-0659,Ali Khan,9.84175E+11,Wallet,Careem,London,Tablet,76.117.130.155,4221.65,38,Medium,Under Review,4/3/2026 21:40
TX-000050,CUST-0874,Noor Qureshi,7.24234E+11,ATM,Daraz,Karachi,iPhone,24.111.25.191,7242.81,89,Critical,Blocked,4/19/2026 13:00
TX-000051,CUST-0062,Bilal Qureshi,5.64895E+11,Bank Transfer,Steam,Lahore,iPhone,90.217.143.95,1134.73,16,Low,Cleared,3/30/2026 10:16
TX-000052,CUST-0232,Hassan Qureshi,9.8661E+11,Card,Binance,Lahore,Tablet,169.103.18.37,7264.09,35,Medium,Under Review,3/29/2026 14:54
TX-000053,CUST-0765,Mariam Sheikh,3.4134E+11,ATM,Careem,Dubai,Tablet,114.107.70.56,7400.89,3,Low,Cleared,4/20/2026 13:45
TX-000054,CUST-0441,Sara Iqbal,6.55329E+11,Card,Amazon,Dubai,MacBook,45.34.98.137,6898.94,14,Low,Cleared,4/9/2026 0:57
TX-000055,CUST-0854,Noor Ansari,80098557410,Wallet,Binance,London,MacBook,213.177.236.93,872.79,64,High,Flagged,3/30/2026 7:42
TX-000056,CUST-0447,Bilal Syed,5.33332E+11,Bank Transfer,Shopify,Karachi,Android,66.51.45.155,1506.6,13,Low,Cleared,4/13/2026 16:13
TX-000057,CUST-0078,Ahmed Butt,4.55687E+11,Wallet,AliExpress,London,iPhone,91.130.19.80,4530.46,97,Critical,Blocked,3/25/2026 21:59
TX-000058,CUST-0378,Usman Raza,6.90536E+11,UPI,Steam,London,Android,246.16.116.27,7949.37,4,Low,Cleared,4/22/2026 3:50
TX-000059,CUST-0517,Noor Malik,79563937606,Wallet,Daraz,Islamabad,iPhone,143.174.99.73,2477.04,43,Medium,Under Review,4/20/2026 21:52
TX-000060,CUST-0895,Ahmed Ansari,69366170563,Bank Transfer,Daraz,New York,MacBook,131.93.5.93,3033.8,84,Critical,Flagged,3/28/2026 7:40
TX-000061,CUST-0971,Zain Sheikh,2.10818E+11,ATM,Binance,Lahore,Android,213.178.198.160,7930.54,27,Low,Cleared,4/9/2026 4:43
TX-000062,CUST-0045,Hassan Ansari,6.24275E+11,UPI,Steam,Dubai,Windows PC,200.98.129.136,4108.69,21,Low,Cleared,4/4/2026 19:55
TX-000063,CUST-0821,Bilal Malik,8.04398E+11,ATM,Daraz,Lahore,MacBook,227.90.239.7,4071.84,20,Low,Cleared,4/15/2026 15:51
TX-000064,CUST-0383,Fatima Syed,9.30987E+11,ATM,Steam,London,iPhone,232.21.5.66,2121.26,50,Medium,Under Review,4/1/2026 21:39
TX-000065,CUST-0963,Hamza Farooq,5.12305E+11,UPI,Shopify,New York,Android,75.110.1.158,3464.07,19,Low,Cleared,3/30/2026 18:32
TX-000066,CUST-0192,Noor Raza,5.39575E+11,Wallet,Daraz,Islamabad,Android,188.169.161.27,7563,73,High,Flagged,4/5/2026 18:58
TX-000067,CUST-0137,Ali Ansari,5.81747E+11,Card,Shopify,Karachi,Windows PC,239.80.132.102,9693.51,94,Critical,Blocked,4/9/2026 14:47
TX-000068,CUST-0260,Ali Sheikh,2.80627E+11,ATM,Uber,London,Windows PC,206.22.187.109,782.7,69,High,Flagged,4/3/2026 4:54
TX-000069,CUST-0559,Usman Ansari,1.32471E+11,Card,Daraz,New York,MacBook,94.132.206.192,6661.43,77,High,Flagged,4/16/2026 12:52
TX-000070,CUST-0870,Bilal Butt,7335669375,UPI,Uber,Dubai,Windows PC,167.72.64.246,1120.66,3,Low,Cleared,4/18/2026 6:01
TX-000071,CUST-0512,Mariam Syed,9.17727E+11,ATM,Daraz,New York,Windows PC,171.89.182.17,5394.47,94,Critical,Blocked,4/16/2026 6:46
TX-000072,CUST-0872,Ahmed Malik,7.51217E+11,Card,Daraz,Islamabad,MacBook,184.185.123.135,4031.68,37,Medium,Under Review,4/11/2026 2:21
TX-000073,CUST-0076,Ahmed Ansari,6.46388E+11,Card,Binance,Islamabad,Android,42.83.240.182,2217.35,52,Medium,Under Review,3/29/2026 14:02
TX-000074,CUST-0867,Sara Iqbal,1.92661E+11,Wallet,Amazon,Karachi,iPhone,12.243.165.198,5656.59,66,High,Flagged,4/11/2026 19:43
TX-000075,CUST-0786,Bilal Syed,6.08563E+11,ATM,Steam,Dubai,Android,88.156.37.81,8443.94,83,Critical,Flagged,4/15/2026 3:43
TX-000076,CUST-0999,Hassan Malik,7.51214E+11,Bank Transfer,Uber,London,Windows PC,49.196.41.128,9760.54,40,Medium,Under Review,4/9/2026 0:44
TX-000077,CUST-0901,Usman Butt,95923048645,Card,Careem,Lahore,Windows PC,187.94.196.104,3592.53,59,Medium,Under Review,4/2/2026 1:12
TX-000078,CUST-0584,Mariam Sheikh,3.23459E+11,UPI,Uber,Lahore,Android,155.131.103.129,404.1,51,Medium,Under Review,4/22/2026 10:06
TX-000079,CUST-0731,Ayesha Butt,5.18193E+11,ATM,AliExpress,Dubai,iPhone,95.85.173.29,9603.2,4,Low,Cleared,4/18/2026 12:18
TX-000080,CUST-0816,Hamza Khan,5.26952E+11,Bank Transfer,Amazon,London,iPhone,49.5.113.81,4109.86,74,High,Flagged,4/10/2026 17:55
TX-000081,CUST-0421,Mariam Farooq,9.87012E+11,Wallet,Uber,New York,Windows PC,157.124.50.246,2423.42,52,Medium,Under Review,4/15/2026 11:16
TX-000082,CUST-0231,Usman Iqbal,7.6446E+11,Wallet,Binance,Islamabad,iPhone,74.245.183.21,3400.9,71,High,Flagged,4/11/2026 3:56
TX-000083,CUST-0263,Hamza Butt,2.82522E+11,Card,Careem,Islamabad,MacBook,26.175.198.36,60.73,56,Medium,Under Review,3/25/2026 21:29
TX-000084,CUST-0417,Noor Butt,4.19369E+11,Bank Transfer,Careem,Lahore,iPhone,215.102.202.127,1833.99,70,High,Flagged,4/17/2026 13:28
TX-000085,CUST-0898,Ali Khan,2.69347E+11,Wallet,Binance,New York,MacBook,166.66.184.48,147.88,95,Critical,Blocked,4/11/2026 13:48
TX-000086,CUST-0582,Noor Sheikh,1.88851E+11,Bank Transfer,Steam,Islamabad,Windows PC,78.150.186.147,121.96,43,Medium,Under Review,4/11/2026 7:44
TX-000087,CUST-0710,Fatima Khan,6.41699E+11,Bank Transfer,Steam,Lahore,MacBook,192.254.156.96,4081.13,83,Critical,Flagged,4/8/2026 9:15
TX-000088,CUST-0776,Mariam Sheikh,7.65755E+11,UPI,Binance,Lahore,Windows PC,219.134.114.30,6670.09,70,High,Flagged,4/3/2026 7:42
TX-000089,CUST-0501,Sara Qureshi,4.01456E+11,Card,Amazon,Dubai,Windows PC,180.17.139.16,9159.57,91,Critical,Blocked,3/29/2026 5:01
TX-000090,CUST-0033,Usman Syed,1.16794E+11,UPI,Binance,New York,Windows PC,31.46.138.101,5187.37,8,Low,Cleared,4/3/2026 6:21
TX-000091,CUST-0855,Ali Khan,9.47432E+11,ATM,Amazon,Lahore,Android,18.26.153.9,4380.66,93,Critical,Blocked,4/14/2026 14:44
TX-000092,CUST-0251,Hamza Khan,4.22805E+11,Wallet,Shopify,Islamabad,Android,253.170.134.57,4058.75,86,Critical,Blocked,4/22/2026 12:48
TX-000093,CUST-0571,Bilal Malik,6.44997E+11,ATM,Shopify,Lahore,Windows PC,220.182.37.207,4543.02,35,Medium,Under Review,4/21/2026 23:24
TX-000094,CUST-0423,Hassan Qureshi,5.32304E+11,Card,Daraz,Lahore,Tablet,186.172.144.56,4703.27,7,Low,Cleared,3/30/2026 3:42
TX-000095,CUST-0980,Ali Sheikh,9.91943E+11,UPI,Uber,Islamabad,Windows PC,93.132.226.128,4572.18,42,Medium,Under Review,4/10/2026 22:49
TX-000096,CUST-0780,Ayesha Sheikh,3.45213E+11,Bank Transfer,Steam,London,Windows PC,66.196.211.126,9472.12,92,Critical,Blocked,4/3/2026 9:10
TX-000097,CUST-0472,Ahmed Ansari,1.74956E+11,ATM,Binance,New York,Android,18.182.39.3,2151.27,82,Critical,Flagged,4/2/2026 10:07
TX-000098,CUST-0062,Bilal Farooq,9.60541E+11,Bank Transfer,Daraz,Karachi,Tablet,39.62.50.159,5164,58,Medium,Under Review,4/7/2026 18:20
TX-000099,CUST-0815,Hassan Raza,3.45927E+11,UPI,Steam,Karachi,iPhone,180.44.22.128,8285.78,45,Medium,Under Review,4/12/2026 13:59
TX-000100,CUST-0580,Sara Qureshi,9.29653E+11,Wallet,Amazon,Lahore,Tablet,37.193.211.183,8046.63,82,Critical,Flagged,4/9/2026 16:08
TX-000101,CUST-0167,Bilal Sheikh,5.86538E+11,Bank Transfer,Daraz,Islamabad,Tablet,197.158.245.153,3893.72,9,Low,Cleared,4/11/2026 3:05
TX-000102,CUST-0031,Noor Iqbal,7.42532E+11,Wallet,Binance,Dubai,Android,190.100.82.93,1053.13,99,Critical,Blocked,4/9/2026 21:29
TX-000103,CUST-0456,Ayesha Iqbal,1.04551E+11,ATM,Careem,Karachi,Tablet,232.251.63.147,5111.61,0,Low,Cleared,4/10/2026 17:16
TX-000104,CUST-0174,Ahmed Iqbal,3.40444E+11,Card,Binance,Islamabad,iPhone,243.102.86.216,6081.68,87,Critical,Blocked,4/7/2026 10:07
TX-000105,CUST-0343,Hassan Farooq,1.3924E+11,ATM,AliExpress,Dubai,Windows PC,30.239.145.52,5807.9,42,Medium,Under Review,4/4/2026 17:08
TX-000106,CUST-0699,Mariam Khan,9.47427E+11,Bank Transfer,Careem,Dubai,iPhone,115.254.154.123,5710.17,69,High,Flagged,4/16/2026 13:27
TX-000107,CUST-0946,Hamza Syed,5.73856E+11,ATM,Uber,Dubai,iPhone,3.26.67.57,5009.52,68,High,Flagged,4/1/2026 16:37
TX-000108,CUST-0595,Hamza Farooq,2.34662E+11,Bank Transfer,Uber,Islamabad,Windows PC,117.201.53.134,4737.85,66,High,Flagged,3/30/2026 8:30
TX-000109,CUST-0449,Hamza Butt,3.38187E+11,UPI,Careem,Dubai,Android,205.104.162.48,1834.73,60,Medium,Under Review,4/20/2026 7:21
TX-000110,CUST-0406,Ali Farooq,8.44023E+11,Bank Transfer,Steam,Karachi,Windows PC,172.221.126.136,9466.32,84,Critical,Flagged,4/5/2026 1:58
TX-000111,CUST-0398,Bilal Syed,5.38687E+11,Bank Transfer,Uber,New York,Android,131.100.108.153,1359.72,40,Medium,Under Review,3/28/2026 13:55
TX-000112,CUST-0191,Zain Qureshi,6.69541E+11,ATM,Steam,Dubai,MacBook,107.182.216.114,4794.37,49,Medium,Under Review,4/5/2026 11:54
TX-000113,CUST-0032,Fatima Iqbal,22757455259,UPI,Amazon,New York,MacBook,140.56.254.109,1012.66,10,Low,Cleared,3/30/2026 0:25
TX-000114,CUST-0305,Ali Butt,2.80818E+11,UPI,Binance,Lahore,Android,207.16.146.90,5221.03,83,Critical,Flagged,4/13/2026 11:36
TX-000115,CUST-0173,Ayesha Iqbal,2.28961E+11,Bank Transfer,Shopify,Lahore,Windows PC,213.64.195.216,6630.34,76,High,Flagged,3/31/2026 5:30
TX-000116,CUST-0592,Noor Iqbal,6.30775E+11,Card,Steam,New York,Windows PC,218.17.204.137,3903.64,62,High,Flagged,4/18/2026 6:41
TX-000117,CUST-0507,Usman Ansari,8.35544E+11,Bank Transfer,Steam,Dubai,iPhone,254.246.110.52,9757.84,54,Medium,Under Review,4/15/2026 2:35
TX-000118,CUST-0310,Ahmed Iqbal,30660677400,Bank Transfer,Steam,Karachi,Android,152.58.133.175,4367.2,16,Low,Cleared,3/26/2026 4:00
TX-000119,CUST-0837,Sara Syed,6.42081E+11,Bank Transfer,Daraz,London,Tablet,3.157.167.43,4318.57,1,Low,Cleared,4/9/2026 2:42
TX-000120,CUST-0644,Hamza Malik,9.64281E+11,Card,Shopify,London,Tablet,154.185.156.73,7636.11,92,Critical,Blocked,4/15/2026 1:16
TX-000121,CUST-0869,Noor Iqbal,2.61368E+11,Card,Uber,Islamabad,Android,100.221.215.146,4130.25,88,Critical,Blocked,4/23/2026 12:41
TX-000122,CUST-0782,Zain Raza,2007565470,UPI,Binance,Islamabad,iPhone,80.21.131.236,1999.3,69,High,Flagged,4/16/2026 21:16
TX-000123,CUST-0335,Hassan Farooq,6.86068E+11,Wallet,Binance,Karachi,iPhone,182.36.180.3,1613.92,19,Low,Cleared,3/31/2026 8:06
TX-000124,CUST-0530,Hamza Iqbal,1.17287E+11,Card,Steam,Dubai,Tablet,93.15.128.220,5559.82,44,Medium,Under Review,3/31/2026 22:43
TX-000125,CUST-0262,Sara Farooq,6.1708E+11,ATM,Shopify,Islamabad,Android,107.235.185.82,2665.62,47,Medium,Under Review,4/17/2026 14:09
TX-000126,CUST-0382,Sara Qureshi,6.02505E+11,Wallet,Shopify,Islamabad,Tablet,201.78.190.160,2384.9,9,Low,Cleared,3/29/2026 17:42
TX-000127,CUST-0996,Zain Sheikh,7.57191E+11,ATM,AliExpress,Karachi,Android,136.252.61.108,4826.96,47,Medium,Under Review,3/28/2026 19:41
TX-000128,CUST-0729,Usman Raza,28484755635,Card,Careem,New York,Android,61.75.67.218,3093.94,7,Low,Cleared,4/18/2026 6:28
TX-000129,CUST-0326,Zain Iqbal,2.91711E+11,ATM,AliExpress,Karachi,iPhone,41.207.176.78,8100.33,50,Medium,Under Review,4/9/2026 21:37
TX-000130,CUST-0042,Fatima Ansari,1.79303E+11,Card,Steam,Karachi,Android,32.4.16.213,7655.6,89,Critical,Blocked,3/28/2026 7:00
TX-000131,CUST-0203,Hassan Ansari,6.90591E+11,Wallet,Daraz,Karachi,MacBook,13.44.237.147,4250.6,28,Low,Cleared,4/18/2026 19:12
TX-000132,CUST-0509,Ali Syed,6.12128E+11,Card,Daraz,Islamabad,MacBook,36.108.52.165,8670.75,92,Critical,Blocked,4/6/2026 18:32
TX-000133,CUST-0646,Mariam Khan,9.7355E+11,Wallet,Amazon,Dubai,Tablet,92.197.150.60,9545.26,67,High,Flagged,4/13/2026 9:50
TX-000134,CUST-0673,Fatima Iqbal,5.77796E+11,Wallet,Uber,London,iPhone,181.180.91.243,5567.31,12,Low,Cleared,4/13/2026 11:15
TX-000135,CUST-0972,Fatima Butt,5.1006E+11,Wallet,Amazon,Karachi,Android,151.181.235.37,7591.05,18,Low,Cleared,3/30/2026 2:55
TX-000136,CUST-0984,Sara Ansari,7.6534E+11,UPI,Uber,Lahore,Tablet,209.45.97.79,7195.81,67,High,Flagged,4/8/2026 3:25
TX-000137,CUST-0182,Hamza Khan,9.93991E+11,Bank Transfer,Uber,New York,iPhone,61.89.252.82,1653.62,37,Medium,Under Review,4/18/2026 22:53
TX-000138,CUST-0747,Ayesha Butt,26377044148,Wallet,Careem,Karachi,MacBook,202.222.148.167,7433.2,11,Low,Cleared,3/26/2026 15:54
TX-000139,CUST-0463,Sara Khan,2.39014E+11,ATM,Amazon,Dubai,Android,156.228.112.41,534.31,28,Low,Cleared,4/17/2026 8:19
TX-000140,CUST-0998,Fatima Syed,6.77222E+11,Wallet,Steam,Lahore,iPhone,7.53.44.164,2866.83,42,Medium,Under Review,4/15/2026 9:28
TX-000141,CUST-0865,Sara Iqbal,7.48263E+11,Wallet,Amazon,Lahore,iPhone,22.172.89.207,5310.79,10,Low,Cleared,4/3/2026 4:43
TX-000142,CUST-0233,Mariam Khan,8.84585E+11,UPI,Binance,Karachi,MacBook,45.243.252.43,9527.49,96,Critical,Blocked,3/28/2026 21:50
TX-000143,CUST-0044,Hassan Raza,9.49683E+11,Wallet,Steam,Karachi,Tablet,151.134.201.108,1111.56,24,Low,Cleared,4/19/2026 0:09
TX-000144,CUST-0581,Bilal Farooq,7.99513E+11,Card,Binance,Islamabad,MacBook,37.159.156.175,6800.94,19,Low,Cleared,4/18/2026 0:06
TX-000145,CUST-0911,Ayesha Sheikh,42337388692,Wallet,Steam,Islamabad,Windows PC,187.107.155.166,884.12,4,Low,Cleared,4/6/2026 17:40
TX-000146,CUST-0936,Hassan Butt,7.88514E+11,Bank Transfer,Amazon,Lahore,iPhone,117.13.236.93,6908.37,56,Medium,Under Review,4/15/2026 3:05
TX-000147,CUST-0844,Zain Qureshi,3.96245E+11,Card,AliExpress,Karachi,MacBook,13.42.219.147,7644.54,35,Medium,Under Review,4/7/2026 23:38
TX-000148,CUST-0663,Fatima Sheikh,2.40771E+11,Wallet,AliExpress,Dubai,MacBook,219.90.118.65,2146.27,27,Low,Cleared,4/14/2026 16:12
TX-000149,CUST-0845,Bilal Syed,5.09986E+11,Wallet,AliExpress,Islamabad,Windows PC,49.39.133.196,2362.56,38,Medium,Under Review,4/1/2026 1:18
TX-000150,CUST-0414,Noor Ansari,6.76924E+11,Bank Transfer,Steam,New York,Windows PC,130.77.217.44,8239.85,7,Low,Cleared,3/28/2026 10:35
TX-000151,CUST-0301,Sara Butt,1.28716E+11,Wallet,Uber,Islamabad,Tablet,76.119.218.31,4616.55,71,High,Flagged,4/16/2026 12:08
TX-000152,CUST-0595,Bilal Raza,4.11655E+11,ATM,Binance,Islamabad,Android,200.21.125.86,6187.81,81,Critical,Flagged,3/29/2026 4:33
TX-000153,CUST-0650,Ali Khan,4.27518E+11,Card,Amazon,London,Android,188.96.244.4,8742.74,22,Low,Cleared,4/10/2026 11:39
TX-000154,CUST-0196,Ali Khan,6.26314E+11,UPI,Uber,Dubai,Android,88.231.126.92,7353.63,96,Critical,Blocked,3/31/2026 13:57
TX-000155,CUST-0020,Fatima Sheikh,7.17514E+11,Card,Daraz,New York,iPhone,13.177.30.107,4359.84,21,Low,Cleared,4/6/2026 9:22
TX-000156,CUST-0259,Zain Malik,2.60416E+11,Wallet,Daraz,Karachi,MacBook,51.156.52.200,2584.71,15,Low,Cleared,3/30/2026 20:12
TX-000157,CUST-0367,Hamza Syed,2.04293E+11,Card,Daraz,New York,iPhone,232.66.165.60,4481.59,66,High,Flagged,4/15/2026 13:42
TX-000158,CUST-0476,Ali Raza,8.88364E+11,Wallet,Uber,Dubai,Tablet,69.225.188.24,3657.97,37,Medium,Under Review,4/12/2026 17:29
TX-000159,CUST-0117,Hassan Syed,9.23877E+11,ATM,Steam,London,MacBook,47.157.98.200,3520.68,43,Medium,Under Review,4/16/2026 10:14
TX-000160,CUST-0495,Zain Raza,8.40609E+11,UPI,Daraz,Dubai,Android,124.89.170.174,6289.35,3,Low,Cleared,4/18/2026 19:16
TX-000161,CUST-0914,Bilal Khan,95441733255,ATM,Careem,Lahore,iPhone,118.114.206.147,4396.89,19,Low,Cleared,3/30/2026 8:07
TX-000162,CUST-0324,Sara Butt,7.04059E+11,ATM,Uber,Islamabad,iPhone,210.58.217.117,3260.01,63,High,Flagged,4/4/2026 9:39
TX-000163,CUST-0615,Zain Ansari,7.17239E+11,Bank Transfer,Careem,Karachi,Windows PC,157.51.49.31,9116.82,98,Critical,Blocked,3/27/2026 13:02
TX-000164,CUST-0469,Fatima Ansari,1.49857E+11,Card,Careem,London,MacBook,237.131.200.236,8920.68,50,Medium,Under Review,4/14/2026 22:30
TX-000165,CUST-0178,Hamza Malik,1.66385E+11,Bank Transfer,Binance,Dubai,Tablet,180.227.192.132,2936.36,88,Critical,Blocked,3/29/2026 10:02
TX-000166,CUST-0882,Ayesha Qureshi,6.26237E+11,Card,Uber,London,MacBook,150.147.242.171,6962.11,89,Critical,Blocked,3/30/2026 19:37
TX-000167,CUST-0293,Hassan Khan,5.01617E+11,UPI,Amazon,Islamabad,MacBook,27.158.223.173,7249.63,86,Critical,Blocked,3/31/2026 10:49
TX-000168,CUST-0575,Hassan Sheikh,5.76603E+11,Bank Transfer,Steam,Lahore,Windows PC,194.151.140.190,5917.16,28,Low,Cleared,3/26/2026 7:09
TX-000169,CUST-0302,Zain Malik,9.0971E+11,Bank Transfer,Amazon,Lahore,Windows PC,153.14.199.239,6132.34,99,Critical,Blocked,4/15/2026 22:37
